seed,value
1.0,0.0222893238029617
2.0,0.0169672443950663
3.0,0.0153254143895698
4.0,0.0229148799089892
5.0,0.0177541272174219
6.0,0.0202060753250303
7.0,0.0196123429502836
8.0,0.0161486003744112
9.0,0.0180570848432517
10.0,0.0167722741412021
11.0,0.0172562569959585
12.0,0.0137074458311282
13.0,0.0202584364131634
14.0,0.0245050434297268
15.0,0.0159183164508842
16.0,0.0119042474063785
17.0,0.0136603302264743
18.0,0.0242904558773872
19.0,0.0174609494268222
20.0,0.0220479230023334
21.0,0.0201029885185462
22.0,0.024199376173104
23.0,0.0144359246066506
24.0,0.0155961046751185
25.0,0.0143809177634879
26.0,0.0182788971247299
27.0,0.0195265943351376
28.0,0.017721572287911
29.0,0.0177104330097356
30.0,0.0160802325319821
31.0,0.0187467398013608
32.0,0.0121638156962082
33.0,0.0167506712124973
34.0,0.0122776813402902
35.0,0.0177659823709841
36.0,0.0199499098793261
37.0,0.0149389156936646
38.0,0.0172258157669461
39.0,0.0197693265795976
40.0,0.0161672355181725
41.0,0.0223486409209399
42.0,0.0232326325976732
43.0,0.0186879870385825
44.0,0.0215858995019496
45.0,0.022340271699429
46.0,0.016969779700103
47.0,0.0139877234009504
48.0,0.0171834710927447
49.0,0.0182530351499032
50.0,0.0264789871303765
51.0,0.0164891693500208
52.0,0.0219006066556296
53.0,0.0243180617926971
54.0,0.0161700003670423
55.0,0.0175863168248332
56.0,0.0176684352709721
57.0,0.0138998199264926
58.0,0.0090269235954463
59.0,0.0167290971414645
60.0,0.0178599146357027
61.0,0.0136753256595067
62.0,0.0145187582828296
63.0,0.0136243736297701
64.0,0.0174649472191395
65.0,0.0194751055552763
66.0,0.0121918680261588
67.0,0.0151692671711882
68.0,0.0197550805068701
69.0,0.0164502431538224
70.0,0.0189783943431906
71.0,0.0154231265416133
72.0,0.0183387815224545
73.0,0.0176293650145124
74.0,0.0190188769377966
75.0,0.0203811972694854
76.0,0.020071211044466
77.0,0.014987484246307
78.0,0.0170970609159828
79.0,0.0201563243059219
80.0,0.0152775748010677
81.0,0.019286391214256
82.0,0.0179714125720424
83.0,0.0195005858636895
84.0,0.0162384355686912
85.0,0.0208454388886725
86.0,0.0191724966007835
87.0,0.0188118572200751
88.0,0.0200785823311262
89.0,0.0173438804418921
90.0,0.0178789631402656
91.0,0.0186747456508169
92.0,0.0129632122647835
93.0,0.0198732073105904
94.0,0.0221236957495639
95.0,0.0195986067766927
96.0,0.0137482579597874
97.0,0.0138630181177308
98.0,0.0202108037702754
99.0,0.0194197525706688
100.0,0.02154123845458
101.0,0.0198945977096481
102.0,0.0165730329932259
103.0,0.0243319305872165
104.0,0.0130608248633213
105.0,0.0172827412518357
106.0,0.020740223882747
107.0,0.0165412383816061
108.0,0.0240516066402033
109.0,0.0251347161322272
110.0,0.0171842169771437
111.0,0.0181967169142817
112.0,0.0199407220393357
113.0,0.0172237530016501
114.0,0.0146668739559038
115.0,0.0287144081220005
116.0,0.0169852183893143
117.0,0.0206510550668843
118.0,0.0150219332684974
119.0,0.0132422250950359
120.0,0.014700374295017
121.0,0.0200739760761377
122.0,0.0178581498846034
123.0,0.0267507831597144
124.0,0.0138384471691714
125.0,0.0156932263296003
126.0,0.018109130531716
127.0,0.0205557049866945
128.0,0.0137377249468471
129.0,0.0181842910649868
130.0,0.0282806766250795
131.0,0.0189217779696592
132.0,0.0217210294169056
133.0,0.0213296435266541
134.0,0.0220502292551039
135.0,0.0213178769068083
